come,	VBZ,	comes,	move toward, travel toward something or somebody or approach something or somebody;reach a destination; arrive by movement or progress;come to pass; arrive, as in due course;reach or enter a state, relation, condition, use, or position;to be the product or result;be found or available;come forth;be a native of;extend or reach;exist or occur in a certain point in a series;cover a certain distance; 'here comes her dog .'
supper,	NN,	supper,	a light evening meal; served in early evening if dinner is at midday or served late in the evening at bedtime;a social gathering where a light evening meal is served, 'what else are we gonna have for supper ?'
koolaid,	NN,	koolaid,	a type of juice , 'so we can make some cake and some koolaid and some stuff .'
thank,	VB,	thank,	express gratitude or show appreciation to, 'thank_you , I was so thirsty .'
thank,	VBP,	thank,	express gratitude or show appreciation to, 'They can't thank you enough for your help'
thank,	NNS,	thanks,	--- No definition found for pos_key n ---, 'thanks for inviting me to your party .'
thank,	VBZ,	thanks,	express gratitude or show appreciation to, 'thanks for inviting me to your party .'
hi,	UH,	hi,	an expression of greeting;a state in the United States in the central Pacific on the Hawaiian Islands; 'hi Amy'
party,	NN,	party,a group of people gathered together for pleasure;a band of people associated temporarily in some activity;an occasion on which people can assemble for social interaction and entertainment, 'an engagement party'
party,	JJ,	party,  divided into parts of different tinctures, "party per fess, or, and azure"
party,	NNS,	partys,a group of people gathered together for pleasure;a band of people associated temporarily in some activity;an occasion on which people can assemble for social interaction and entertainment; 'I been to two birthday , three birthday partys '
today,	NN,	today,	the present time or age;the day that includes the present moment, 'today is a day of rest'
today,	RB,	today,	in these times;on this day as distinct from yesterday or tomorrow, 'she's thirty today'
well,	RB,	well,	(often used as a combining form;`good' is a nonstandard dialectal variant for `well';thoroughly or completely; fully; often used as a combining form;indicating high probability; in all likelihood;(used for emphasis or as an intensifier;to a suitable or appropriate extent or degree;favorably; with approval;to a great extent or degree; 'well let's put the people in there too .'
well,	RBR,	better,	(often used as a combining form;`good' is a nonstandard dialectal variant for `well';thoroughly or completely; fully; often used as a combining form;indicating high probability; in all likelihood;(used for emphasis or as an intensifier;to a suitable or appropriate extent or degree;favorably; with approval;to a great extent or degree; 'you better help them put the fire out .'
well,	NN,	well,	a deep hole or shaft dug or drilled to obtain water or oil or gas or brine;a cavity or vessel used to contain liquid;an abundant source;an open shaft through the floors of a building (as for a stairway; 'She tok water from well'
wait,	VBG,	waiting,	stay in one place and anticipate or expect something;wait before acting;look forward to the probable occurrence of;serve as a waiter or waitress in a restaurant, 'I'm waiting for you to call me .'
wait,	VBP,	wait,	stay in one place and anticipate or expect something;wait before acting;look forward to the probable occurrence of;serve as a waiter or waitress in a restaurant, 'Let them wait for their meal'
wait,	NN,	wait,	time during which some action is awaited;the act of waiting (remaining inactive in one place while expecting something, 'we had a long wait'
wait,	VB,	wait,	stay in one place and anticipate or expect something;wait before acting;look forward to the probable occurrence of;serve as a waiter or waitress in a restaurant, 'wait don't we needta build a house first ?'
bye,	NN,	bye,	an automatic advance to the next round in a tournament without playing an opponent;a farewell remark, 'bye Rachel. See you tomorrow.'
ride,	NN,	ride,	a journey in a vehicle (usually an automobile;a mechanical device that you ride for amusement or excitement, 'I'll give you a ride on a tractor .'
ride,	VBG,	riding,	sit and travel on the back of animal, usually while controlling its motions;be carried or travel on or in a vehicle;continue undisturbed and without interference; 'She likes riding on horse'
ride,	VB,	ride,	sit and travel on the back of animal, usually while controlling its motions;be carried or travel on or in a vehicle;continue undisturbed and without interference; 'I wanna ride too'
mother,	NN,	mother,	a woman who has given birth to a child (also used as a term of address to your mother;a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar;a term of address for an elderly woman;a term of address for a mother superior;a condition that is the inspiration for an activity or situation, 'can my mother and my daughter come ?'
farmer,	NN,	farmer,	a person who operates a farm; 'let us put the farmer here .'
honey,	NN,	honey,	a sweet yellow liquid produced by bees;a beloved person; used as terms of endearment, 'come on honey , breakfast is almost ready .'
lunch,	NN,	lunch,	a midday meal, 'honey , the lunch is ready .'
ready,	JJ,	ready,	completely prepared or in condition for immediate action or use or progress;(of especially money;mentally disposed;made suitable and available for immediate use;apprehending and responding with speed and sensitivity, 'honey , the lunch is ready .'
say,	VBP,	say,	express in words;report or maintain;express a supposition;have or contain a certain wording or form;give instructions to or direct somebody to do something with authority;speak, pronounce, or utter in a certain way;communicate or express nonverbally;utter aloud;state as one's opinion or judgement; declare;recite or repeat a fixed text;indicate, 'whatever they say about you doesn't matter'
say,	VBD,	said,	express in words;report or maintain;express a supposition;have or contain a certain wording or form;give instructions to or direct somebody to do something with authority;speak, pronounce, or utter in a certain way;communicate or express nonverbally;utter aloud;state as one's opinion or judgement; declare;recite or repeat a fixed text;indicate, 'I said I gonna put the indian in here .'
